Ramequins fondants au chocolat,"Ingrédients : chocolat noir + 8 carrés (5 g),oeuf,sucre semoule,beurre doux,farine.Faites fondre dans une casserole le chocolat et le beurre, en remuant régulièrement pour former une pâte homogène et...",22 min,false,très facile
Flan,Recette de dessert,10 min,false,Très facile
Tiramisu aux fraises,"Ingrédients : fraise,citron jaune,oeuf,mascarpone,sucre,biscuits à la cuillère.Verser le restant du 'coulis' par dessus. Mettre au frais.Arroser les fraises du jus de citron et de 30 g de sucre. Ecraser les fraises...",20 min,false,facile
Compote fraise-rhubarbe au Blender,,15 min,false,très facile
Panacotta à la fraise,"Ingrédients : crème liquide,sucre en poudre,gélatine,vanille,menthe fraîche,fraise.Démouler dans des assiettes à dessert, ajouter le coulis fait avec les fraises. Laisser refroidir.Pendant ce temps, faire...",25 min,false,easy
Compote fraise-rhubarbe au Blender,"Ingrédients : rhubarbe,fraise,jus d'orange,citronnelle,sucre en poudre,extrait de vanille.Ajoutez la quantité de compote réservée, mélangez manuellement et placez au réfrigérateur...",15 min,false,easy
'The' tarte aux fraises,"Ingrédients : farine,beurre,sucre,jaune d'oeuf,eau,sel,lait,oeuf,farine,sucre,sucre vanillé,fraise (ou plus ;).Verser au milieu de ce ""sable"" le mélange liquide. ...",35 min,false,easy
Couscous poulet et merguez facile,"Ingrédients : pilon de poulet (fermier de préférence),merguez,huile d'olive,concentré de tomates,épice à couscous,harissa,cube de bouillon de boeuf,tomate,navet,carotte,courgette,pois chiches.Lavez et épluchez...",1h05,false,""
Gâteau au chocolat,"Ingrédients : beurre mou,sucre semoule,oeuf,farine,cacao,chocolat pâtissier.Préchauffez l'airfryer à 160°C.Dans le bol du mixeur, mélangez le beurre et le sucre pendant environ 5...",35 min,false,""
Ramequins fondants au chocolat,"Ingrédients : chocolat noir + 8 carrés (5 g),oeuf,sucre semoule,beurre doux,farine.Faites fondre dans une casserole le chocolat et le beurre, en remuant régulièrement pour former une pâte homogène et...",22 min,false,très facile
Brochettes d’agneau aux herbes de Provence et leur dip poivron/feta,"Ingrédients : gigot d'agneau,oignon rouge coupé en 4,tomate séchée à l'huile d'olive,origan,thym,sel,poivre,huile d'olive,poivron rouge,feta,sel,poivre,huile d'olive.Au barbecue 1 :...",45 min,false,facile
Muffins pomme cannelle gingembre,"Ingrédients : farine,sucre,oeuf,levure,yaourt + 1/2,gingembre,cannelle,sel,pomme.Verser ce mélange dans le plat contenant la farine, remuer (pas la peine de s'affoler sur les grumeaux, ils partiront à la...",40 min,false,très facile
Ramequins fondants au chocolat,"Ingrédients : chocolat noir + 8 carrés (5 g),oeuf,sucre semoule,beurre doux,farine.Faites fondre dans une casserole le chocolat et le beurre, en remuant régulièrement pour former une pâte homogène et...",22 min,false,très facile
Barquitas™ crousti poulet et fromage fondant,"Ingrédients : kit Barquitas™ Crousti’ Poulet Old El Paso™ (contenant 8 Barquitas™ de Blé Nature, 1 sachet d’assaisonnement chapelure, 1 sachet de sauce),blanc de...",40 min,false,très facile
'The' tarte aux fraises,"Ingrédients : farine,beurre,sucre,jaune d'oeuf,eau,sel,lait,oeuf,farine,sucre,sucre vanillé,fraise (ou plus ;).Verser au milieu de ce ""sable"" le mélange liquide. ...",35 min,false,très facile
